question,choices,answer,point
「鱟」在生物學上的分類？,"節肢動物門,腔腸動物門,軟體動物門,棘皮動物門",節肢動物門,5
地球目前總共有幾個自然衛星？,"數十萬個,難以計算,一個,數百萬個",一個,5
水稻的子葉是屬於？,"單子葉,雙子葉,多子葉,三子葉",單子葉,10
水溫降到攝氏幾度以下會結冰？,"20,30,0,10",0,3
高氣壓在北半球的流動方向？,"向南,不一定,順時針,逆時針",順時針,10
少量白雲母，最可能之火成岩種類為何？,"花崗岩,輝長岩,橄欖岩,玄武岩",花崗岩,10
豬籠草和毛氈苔主要藉由捕食昆蟲以獲得該地區缺乏的何種營養素？,"鐵,氮,鉀,碳",氮,5
我們俗稱的苛性鈉是？,"硫酸鈉,碳酸鈉,碳酸氫鈉,氫氧化鈉",氫氧化鈉,10
胃酸的主要成分是？,"鹽酸,硫酸,檸檬酸,胺基酸",鹽酸,5
綠島的溫泉，是屬於哪種溫泉？,"平原,海底,洞穴,高山",海底,10
世界最大的貓科動物？,"孟加拉虎,西伯利亞虎,非洲獅,美洲豹",西伯利亞虎,5
色彩三要素(三屬性)是指？,"色相、明度、採紅,色相、明度、彩度,色相、明度、印度,色相、明度、亮度",色相、明度、彩度,5
下列何者不是候鳥？,"砂岩燕,麻雀,寒雀,紅尾伯勞鳥",麻雀,5
水稻的葉子分成平坦部分跟鞘狀不分部分，請問平坦部分的功用是？,"光合作用,儲存養分,美觀大方,傳宗接代",光合作用,5
世界上最大的海洋？,"太平洋,北極海,印度洋,大西洋",太平洋,3
創立座標幾何的人是誰？,"巴比,丟番圖,笛卡兒,畢達哥拉斯",笛卡兒,10
已知果蠅體細胞內有四對染色體，則其卵子中的染色體數？,"四對染色體,兩對染色體,四條不成對染色體,兩條不成對染色體",兩對染色體,5
被刀子割傷，數日後傷口因感染而紅腫發炎，此時體內何種細胞會顯著增加？,"神經細胞,白血球,肌肉細胞,紅血球",白血球,5
受驚嚇的長頸鹿，會有什麼動作？,"狂奔,躲在草叢,低頭,把頭伸高",把頭伸高,5
月球的地心引力約為地球的多少？,"5分之1,4分之1,6分之1,3分之1",6分之1,10
「大蘋果」是哪一個城市的名稱？,"巴黎,紐約,東京,香港",紐約,3
鄭經治台時，改國號為什麼國？,"鄭經,西寧,東寧,高砂",東寧,5
日本名著的明治神宮，位於？,"山形,東京,大阪,神戶",東京,5
十三行文化遺址在新北市哪裡發現？,"八里,陽明山,淡水,五股",八里,3
請問一般推論中，塔羅牌是首先出現在哪一個國家？,"西班牙,法國,奧匈帝國,義大利",義大利,10
臭氧層的臭氧減少的主因是下列何種化合物？,"二氧化氮,氯氧化合物,氟氯碳化物,二氧化碳",氟氯碳化物,5
二次大戰期間的諾曼第登陸，發生在哪一個國家？,"法國,美國,西班牙,荷蘭",法國,3
蒙古人統一中國時，世居西域一帶最有可能是什麼階級的人？,"蒙古人,色目人,南人,漢人",色目人,10
司馬遷因替誰求情而被漢武帝處以宮刑？,"李靖,李陵,李廣,李廣利",李陵,10
明朝著名的傳教士利瑪竇來自？,"英國,法國,義大利,德國",義大利,5
中國鼎鼎有名四大美女中，哪個是歷史上並不存在的虛構人物？,"楊貴妃,貂蟬,西施,王昭君",貂蟬,5
貝多芬在創作《第三交響曲》時，本來是為了獻給誰？,"俾斯麥,莫札特,拿破崙,海頓",拿破崙,5
西元1600到1750年間，西洋音樂史上稱為什麼？,"浪漫樂派時代,流行音樂時代,文藝復興時代,巴洛克時代",巴洛克時代,10
美國共和黨的精神象徵圖騰，是哪一種動物？,"大象,老虎,獅子,老鷹",大象,5
國共戰爭時期，打敗國民黨，建立中共政權的中共領導人為？,"毛澤東,江澤民,鄧小平,胡錦濤",毛澤東,5
「蜀相」「出師未捷身先死，長使英雄淚滿襟」出自何者？,"李白,王維,杜甫,白居易",杜甫,5
西元618-917年，是我國古代的哪個朝代？,"三國,唐朝,秦朝,隋朝",唐朝,5
東漢時誰再伐匈奴，迫使匈奴單于逃往歐洲？,"衛青,竇憲,李廣,霍去病",竇憲,10
在電影「斯巴達三百壯士」中，溫泉關戰役帶領著斯巴達軍隊的國王是？,"列奧尼達,達里茲,安東尼斯,阿罕列德",列奧尼達,10
採用王安石宰相的皇帝？,"宋明宗,宋高宗,宋神宗,宋真宗",宋神宗,5
哆啦A夢最喜愛的食物是？,"鯛魚燒,銅鑼燒,豬血糕,老鼠",銅鑼燒,3
